Phone;Service for phone lines.;Service for phone lines.;Property Management Income
Plaster;;;Property Management Income
Plowing;Plow driveway;Plow driveway;Property Management Income
Plumbing;;;Property Management Income
Plumbing - inside water;;;Property Management Income
Plumbing - outside water;Open/close house to drain outside water for winter;Open/close house to drain outside water for winter;Property Management Income
Plumbing fixtures/Glass door;;;Property Management Income
Plumbing/Gas;;;Property Management Income
Pool;;;Property Management Income
Port-a-potty;Portable toilet rental and cleaning;Portable toilet rental and cleaning;Property Management Income
Post Storm;Post storm house check;Post storm house check;Property Management Income
Power Washing;Power washing;Power washing;Property Management Income
Printing;;;Property Management Income
Propane;;;Property Management Income
Property Management;;;Property Management Income
Property Management:Carpentry;;;Property Management Income
Property Management:Landfill Fee;;;Property Management Income
Property Management:Licenses & Permits;;;Property Management Income
Property Management:Materials;;;Property Management Income
Property Management:Miscellaneous;;;Property Management Income
Property Management:Property Management;;;Property Management Income
Receipt;;;
Renovation;;;Property Management Income
Roller Shade;;;Property Management Income
Roof Cleaning;Roof Cleaning;Roof Cleaning;Property Management Income
Roofing;;;Property Management Income
Roofing:Sealing;;;Property Management Income
Rug Cleaning;Rug cleaning;Rug cleaning;Property Management Income
Security;Check  property after security system failure;Check  property after security system failure;Property Management Income
Septic;Pumped out Septic system;Pumped out Septic system;Property Management Income
Service Fee;Service fee for above item;Service fee for above item;Property Management Income
Sewer Work;;;Subcontractors
Shingling;;;Property Management Income
Shipping;Shipping Charge;Shipping Charge;Property Management Income
Shutters;;;Subcontractors
sidewall/roofing;;;Subcontractors
Sign & Copy;Please sign estimate and return copy to Brant Point Building with deposit to begin project;Please sign estimate and return copy to Brant Point Building with deposit to begin project;Property Management Income
Site visit;Site visit;Site visit;Property Management Income
Skylight;;;Property Management Income
Snow Removal;Snow removal;Snow removal;Property Management Income
Solar;Photovoltaic System;Photovoltaic System;Property Management Income
Spa;Spa service;Spa service;Property Management Income
Speakers;;;
Spring Opening;Spring opening of the house:\nPut outside furniture out\nOpen storms\nTurn on outside water\nOpen crawl space vents\nEtc.;Spring opening of the house:\nPut outside furniture out\nOpen storms\nTurn on outside water\nOpen crawl space vents\nEtc.;Property Management Income
Sprinkler;Meeting with sprinkler service for seasonal maintenance;Meeting with sprinkler service for seasonal maintenance;Property Management Income
Sprinkler draining;Open & close house for sprinkler draining;Open & close house for sprinkler draining;Property Management Income
stairs;;;Subcontractors
Stone;;;Property Management Income
Storage Unit;Monthly storage unit fee;Monthly storage unit fee;Property Management Income
Storm Check;Check house during/after major storm event;Check house during/after major storm event;Property Management Income
Storm Prep;Prepare house for storm\nClose storm windows & doors\nPut away/secure outside furniture\nMisc items;Prepare house for storm\nClose storm windows & doors\nPut away/secure outside furniture\nMisc items;Property Management Income
Storm Windows;Open/close storm windows and doors;Open/close storm windows and doors;Property Management Income
Subcontractor;;;Subcontractors
Surveying;;;Property Management Income
Tile/Stone;;;Property Management Income
Tiling;;;Property Management Income
Trash;Monthly trash service;Monthly trash service;Property Management Income
Tree Work;Tree trimming;Tree trimming;Property Management Income
Trim Washing;Painted trim washing;Painted trim washing;Property Management Income
Twice-Weekly;Twice a week house inspections as requested on property management agreement;Twice a week house inspections as requested on property management agreement;Caretaking Income
Unlocked/Locked House;Unlocked/Locked House;Unlocked/Locked House;Property Management Income
Upholstry Cleaning;;;Property Management Income
Vehicle Storage;Vehicle storage;Vehicle storage;Property Management Income
Wall Board;Installation of wall board;Installation of wall board;Property Management Income
Wallpapering;;;Property Management Income
Water Filtration;Annual water filtration system maintenance;Annual water filtration system maintenance;Property Management Income
Water Shut Off;;;Property Management Income
Water Turn On;;;Property Management Income
Welding;Welding;Welding;Property Management Income
Window Cleaning;;;Property Management Income
Window Repair;;;Property Management Income
windows/doors;;;Subcontractors
Winter Shut down;Winter shut down of house\nPut away outside furniture\nClosed storms\nShut off outside water\nClosed crawl space vents\nEtc.;Winter shut down of house\nPut away outside furniture\nClosed storms\nShut off outside water\nClosed crawl space vents\nEtc.;Property Management Income
Zero;;;Property Management Income
Fin Chg;Finance Charges on Overdue Balance;Finance Charges on Overdue Balance;Property Management Income
Reimb Subt;Reimbursable Expenses Subtotal;;
